hand_x_pos,hand_y_pos,hand_z_pos,hand_quat_q,hand_quat_p1,hand_quat_p2,hand_quat_p3
-0.26529,0.20246,0.69344,0.66489,-0.58229,0.28289,-0.37261
-0.26523,0.20245,0.6933,0.66486,-0.58237,0.28293,-0.3725
-0.26516,0.20242,0.69316,0.66471,-0.58256,0.283,-0.37242
-0.26509,0.20239,0.69303,0.66449,-0.5828,0.28311,-0.37235
-0.265,0.20235,0.6929,0.66431,-0.58298,0.28323,-0.3723
-0.26489,0.20232,0.69277,0.66418,-0.58307,0.28338,-0.37229
-0.26476,0.20229,0.69265,0.66408,-0.5831,0.28355,-0.37229
-0.26462,0.20227,0.69253,0.66399,-0.58315,0.28367,-0.37225
-0.26446,0.20225,0.69241,0.66396,-0.58322,0.28375,-0.37216
-0.26429,0.20224,0.6923,0.66394,-0.5833,0.28379,-0.37203
-0.26408,0.20229,0.69217,0.66384,-0.58353,0.28371,-0.37193
-0.26385,0.20238,0.69203,0.66373,-0.58373,0.28357,-0.3719
-0.26358,0.20253,0.69188,0.66353,-0.58408,0.28332,-0.3719
-0.26323,0.20283,0.69174,0.66286,-0.58516,0.28274,-0.37184
-0.26286,0.20331,0.6916,0.66171,-0.58667,0.28194,-0.37211
-0.2624,0.20395,0.69147,0.66008,-0.58891,0.28082,-0.37232
-0.26163,0.2048,0.69139,0.65766,-0.59328,0.27873,-0.37123
-0.26066,0.20572,0.69135,0.6543,-0.60043,0.27539,-0.36815
-0.25938,0.20684,0.69137,0.65006,-0.60963,0.27106,-0.36372
-0.25723,0.20862,0.69154,0.64491,-0.62022,0.26596,-0.35872
-0.25417,0.21125,0.69183,0.63767,-0.6336,0.25981,-0.35275
-0.25024,0.21454,0.69229,0.62937,-0.64821,0.25282,-0.34612
-0.24501,0.21837,0.69314,0.62355,-0.65917,0.246,-0.34083
-0.23842,0.22276,0.6944,0.62179,-0.66481,0.24023,-0.33718
-0.23052,0.22769,0.69605,0.62273,-0.66701,0.2347,-0.33499
-0.22103,0.23298,0.69837,0.62566,-0.66633,0.22791,-0.33557
-0.20978,0.23875,0.7013,0.63092,-0.66231,0.21985,-0.33904
-0.19693,0.24488,0.70489,0.63805,-0.6553,0.21049,-0.34521
-0.18263,0.25086,0.70954,0.64516,-0.64692,0.19827,-0.35491
-0.16684,0.25664,0.71518,0.65141,-0.6377,0.18162,-0.3688
-0.14959,0.26228,0.72188,0.65724,-0.62674,0.16202,-0.38598
-0.13116,0.26745,0.73027,0.66268,-0.6136,0.14242,-0.40505
-0.11151,0.27206,0.74042,0.66797,-0.59821,0.12325,-0.42516
-0.090675,0.2762,0.75227,0.67264,-0.58047,0.10408,-0.44697
-0.06912,0.27981,0.76626,0.67573,-0.56003,0.086707,-0.47142
-0.046686,0.28303,0.78257,0.67691,-0.53581,0.072466,-0.49945
-0.023528,0.28572,0.80102,0.67609,-0.50861,0.060009,-0.52974
-0.000565,0.28733,0.82161,0.67287,-0.48119,0.047089,-0.55989
0.022219,0.28772,0.84458,0.66766,-0.45364,0.032958,-0.58936
0.044808,0.28703,0.86969,0.66003,-0.42594,0.018409,-0.61854
0.066229,0.28504,0.89612,0.64878,-0.40094,0.003531,-0.64677
0.08644,0.28167,0.92401,0.63362,-0.38019,-0.01196,-0.67368
0.10548,0.27701,0.95324,0.61508,-0.36233,-0.027726,-0.69973
0.12251,0.27116,0.98265,0.59338,-0.3459,-0.042729,-0.72556
0.13728,0.26399,1.0121,0.56749,-0.33141,-0.056656,-0.75161
0.15004,0.25564,1.0417,0.53838,-0.3183,-0.069759,-0.77716
0.16068,0.2466,1.0708,0.50928,-0.30348,-0.08188,-0.80114
0.16906,0.23694,1.0994,0.48144,-0.28561,-0.092575,-0.82345
0.17532,0.2266,1.1274,0.45382,-0.26615,-0.10226,-0.84425
0.17974,0.21589,1.1541,0.42631,-0.24633,-0.1121,-0.86315
0.18226,0.20473,1.1791,0.39893,-0.22639,-0.12272,-0.88008
0.18293,0.1932,1.2029,0.37185,-0.20621,-0.13348,-0.8952
0.18217,0.1819,1.2252,0.34515,-0.18649,-0.14359,-0.90855
0.17995,0.17091,1.2461,0.31895,-0.16748,-0.15297,-0.92023
0.17631,0.16014,1.2655,0.29331,-0.14903,-0.16172,-0.93038
0.17178,0.1499,1.2833,0.2684,-0.13128,-0.16938,-0.93917
0.1664,0.14025,1.2995,0.24425,-0.11437,-0.17609,-0.94671
0.16013,0.13113,1.3142,0.22095,-0.098238,-0.18173,-0.95315
0.15341,0.12269,1.3275,0.1987,-0.082683,-0.18553,-0.95878
0.14624,0.11498,1.3393,0.17779,-0.067424,-0.18709,-0.96376
0.13861,0.10795,1.3498,0.158,-0.052786,-0.18684,-0.96816
0.13097,0.10163,1.359,0.13879,-0.039482,-0.18524,-0.97204
0.12332,0.096026,1.3669,0.11972,-0.027918,-0.1823,-0.97553
0.11565,0.091132,1.3736,0.10128,-0.017707,-0.17804,-0.97864
0.10834,0.086931,1.3794,0.084243,-0.00836,-0.17288,-0.9813
0.10142,0.083494,1.3842,0.068894,0.00025,-0.16663,-0.98361
0.09486,0.08075,1.3881,0.054976,0.007987,-0.15951,-0.98563
0.088874,0.078469,1.3914,0.042452,0.014951,-0.15262,-0.98726
0.083572,0.07658,1.394,0.031363,0.020867,-0.14619,-0.98854
0.078849,0.075154,1.3961,0.021682,0.026009,-0.14001,-0.98957
0.074609,0.07418,1.3981,0.013267,0.031309,-0.13454,-0.99032
0.070839,0.073709,1.4002,0.006293,0.037363,-0.1298,-0.99082
0.067553,0.07369,1.4022,0.00059,0.043576,-0.12578,-0.9911
0.064691,0.073957,1.4043,0.004498,-0.049091,0.12287,0.9912
0.062262,0.07453,1.4065,0.009093,-0.053593,0.12142,0.99111
0.060257,0.075389,1.4088,0.013073,-0.0574,0.12109,0.99089
0.058597,0.076308,1.411,0.016718,-0.060607,0.1212,0.99063
0.05734,0.077229,1.413,0.020131,-0.063032,0.12179,0.99035
0.056428,0.07821,1.4149,0.023211,-0.064859,0.12283,0.99003
0.0556,0.079205,1.4167,0.025933,-0.066733,0.1236,0.98975
0.05478,0.080263,1.4183,0.028171,-0.069013,0.12377,0.98951
0.054045,0.081334,1.4198,0.030052,-0.071341,0.12367,0.9893
0.053358,0.082224,1.4209,0.031938,-0.073281,0.12355,0.98911
0.052727,0.082849,1.4214,0.033985,-0.07456,0.12357,0.98895
0.052146,0.083293,1.4216,0.036037,-0.075452,0.12357,0.98881
0.051562,0.083613,1.4214,0.037988,-0.076351,0.1233,0.9887
0.050942,0.083821,1.4209,0.039777,-0.077451,0.1227,0.98862
0.050321,0.083905,1.4201,0.041464,-0.078558,0.12183,0.98857
