vx,vy,vz,wx,wy,wz
-0.016093,0.006962,-0.011991,0.009406,0.047214,-0.025332
-0.013608,0.009043,-0.01132,0.014051,0.036176,-0.020308
-0.011266,0.011295,-0.01073,0.013949,0.02615,-0.021792
-0.00891,0.013564,-0.010232,0.018203,0.018279,-0.021503
-0.006354,0.015467,-0.009981,0.024197,0.014482,-0.016062
-0.003312,0.016857,-0.010165,0.034267,0.012399,-0.005586
-7e-05,0.017881,-0.010597,0.044116,0.009852,0.000155
0.002704,0.018592,-0.010867,0.046929,0.002047,0.00675
0.004715,0.018911,-0.010925,0.040724,-0.010068,0.011051
0.006258,0.018918,-0.010822,0.044239,-0.018383,0.001123
0.007556,0.018899,-0.010305,0.041764,-0.022876,-0.014238
0.008645,0.019077,-0.009192,0.042272,-0.025166,-0.029495
0.009489,0.019229,-0.007665,0.043607,-0.028829,-0.034559
0.010209,0.01898,-0.006019,0.041247,-0.033752,-0.025212
0.01088,0.018238,-0.004451,0.039978,-0.039174,-0.010931
0.011428,0.017095,-0.002765,0.055574,-0.033229,0.001057
0.011746,0.015453,-0.000662,0.066811,-0.029889,0.013256
0.011609,0.013391,0.002189,0.069737,-0.0263,0.015384
0.011243,0.010829,0.005457,0.065238,-0.027084,0.023596
0.011217,0.007438,0.00844,0.054315,-0.027234,0.026876
0.011947,0.002901,0.011058,0.047028,-0.026104,0.023744
0.013017,-0.002466,0.013391,0.041455,-0.031846,0.020235
0.013757,-0.008045,0.014979,0.038411,-0.033593,0.026115
0.01387,-0.013761,0.015736,0.03561,-0.038026,0.01998
0.013651,-0.01969,0.015747,0.022825,-0.053978,0.001745
0.013325,-0.025437,0.014811,0.001246,-0.073338,-0.01611
0.013057,-0.031039,0.012092,-0.015254,-0.077402,-0.024357
0.012681,-0.03646,0.008426,-0.03143,-0.063741,-0.035497
0.011916,-0.0412,0.006121,-0.038399,-0.032169,-0.043948
0.010363,-0.045226,0.00626,-0.046096,-0.007367,-0.057414
0.008421,-0.048571,0.007761,-0.066784,0.004213,-0.077116
0.007015,-0.050836,0.009682,-0.087398,0.005457,-0.10435
0.006256,-0.051591,0.011816,-0.10972,0.001246,-0.10807
0.006033,-0.051265,0.01437,-0.11041,0.005833,-0.086775
0.006938,-0.050744,0.017018,-0.1127,0.027526,-0.028208
0.009783,-0.049735,0.019681,-0.12333,0.057126,0.06242
0.013756,-0.048532,0.022437,-0.1273,0.072171,0.17319
0.01702,-0.048904,0.025192,-0.12574,0.070666,0.25906
0.01868,-0.052189,0.027896,-0.12395,0.065303,0.28684
0.019631,-0.05705,0.030598,-0.1241,0.059773,0.25404
0.020716,-0.061247,0.033351,-0.12887,0.047148,0.19396
0.022415,-0.06407,0.036427,-0.1453,0.036343,0.12968
0.024247,-0.066229,0.039553,-0.15878,0.035399,0.076939
0.02562,-0.067627,0.041959,-0.17473,0.022619,0.026148
0.026337,-0.068385,0.043408,-0.17818,-0.000177,-0.028954
0.026595,-0.068381,0.044137,-0.17231,-0.045295,-0.096558
0.026391,-0.067153,0.044079,-0.15403,-0.082126,-0.16431
0.025703,-0.064396,0.042855,-0.13626,-0.11826,-0.22343
0.024553,-0.060415,0.040844,-0.11797,-0.13381,-0.25026
0.023004,-0.05566,0.039117,-0.10848,-0.13436,-0.23985
0.020817,-0.049795,0.038212,-0.10344,-0.13368,-0.21452
0.01823,-0.043155,0.03759,-0.10835,-0.11774,-0.18971
0.016027,-0.0372,0.036702,-0.1053,-0.096342,-0.16494
0.014589,-0.032448,0.035383,-0.081182,-0.069584,-0.13086
0.013535,-0.028381,0.033799,-0.048361,-0.052747,-0.08584
0.012499,-0.024901,0.031894,-0.032305,-0.050631,-0.045001
0.011414,-0.022008,0.029793,-0.020086,-0.049306,-0.006465
0.010347,-0.019701,0.027371,-0.005693,-0.049397,0.035986
0.009142,-0.017877,0.024188,0.008073,-0.050453,0.070268
0.007678,-0.016653,0.01994,0.014899,-0.053266,0.082735
0.006074,-0.015912,0.014932,0.019638,-0.044515,0.075879
0.004538,-0.015203,0.009637,0.028027,-0.026001,0.069911
0.003138,-0.014494,0.003866,0.026865,-0.01217,0.08292
0.001804,-0.013816,-0.002192,0.015051,-0.005986,0.094568
0.000539,-0.012809,-0.007485,0.007882,0.003274,0.085996
-0.00084,-0.011203,-0.011786,-0.001197,0.009727,0.067585
-0.002151,-0.009268,-0.015322,-0.000387,0.038553,0.065011
-0.00284,-0.007448,-0.017736,0.000845,0.080156,0.096614
-0.002572,-0.005831,-0.018677,0.005673,0.10966,0.13654
-0.001682,-0.00433,-0.018494,0.00166,0.12902,0.16289
-0.000625,-0.003132,-0.017882,0.003785,0.1308,0.15407
0.000577,-0.002461,-0.01713,0.017465,0.12548,0.13082
0.001946,-0.002094,-0.015948,0.026421,0.10862,0.11173
0.003101,-0.001545,-0.014154,0.026451,0.078275,0.085055
0.003737,-0.000568,-0.011576,0.020593,0.048127,0.060904
0.004158,0.00059,-0.008386,0.013788,0.025097,0.031165
0.004891,0.001675,-0.00492,0.018754,0.022664,0.009698
0.006519,0.002516,-0.000846,0.030093,0.02384,-0.002171
0.008459,0.003283,0.003503,0.030765,0.01737,-0.007349
0.009491,0.004228,0.006791,0.031828,-0.010119,-0.020463
0.008635,0.005666,0.008473,0.033398,-0.055836,-0.038818
0.006872,0.007281,0.009093,0.033183,-0.083399,-0.061607
0.00592,0.008381,0.00895,0.042668,-0.082871,-0.068586
0.006959,0.008717,0.007719,0.050591,-0.060284,-0.033835
0.00881,0.008538,0.005726,0.056063,-0.026966,0.018372
0.009662,0.00789,0.004247,0.052988,-0.001416,0.050399
0.008323,0.006619,0.003809,0.045073,0.006983,0.048443
0.005984,0.00488,0.003887,0.034992,-0.006655,0.023154
0.00441,0.003184,0.004173,0.018108,-0.023567,0.005491
0.004639,0.001827,0.004743,0.014127,-0.014641,-0.010164
0.005632,0.000514,0.005521,0.012153,0.007417,0.008143
0.006036,-0.001135,0.005981,0.002234,0.021753,0.036448
0.00506,-0.003603,0.005925,-0.011128,0.01531,0.058452
0.003495,-0.006406,0.00555,-0.018388,0.009375,0.039908
0.002362,-0.008469,0.004912,-0.017962,0.007316,-0.002075
0.002249,-0.009392,0.003987,-0.014313,0.010702,-0.036545
0.002567,-0.009577,0.0028,-0.026443,0.006818,-0.049612
0.002581,-0.009148,0.001484,-0.032868,0.007972,-0.048541
0.00167,-0.007999,2.1e-05,-0.039615,-0.00068,-0.039573
0.000455,-0.006238,-0.001571,-0.035455,-0.010687,-0.035898
5e-05,-0.004316,-0.003098,-0.019167,-0.009457,-0.038506
0.001245,-0.002239,-0.004744,-0.002401,0.01051,-0.026914
0.003251,-2e-06,-0.006325,0.008183,0.043311,0.010548
0.004816,0.001955,-0.007088,0.017759,0.069459,0.052409
0.005346,0.003416,-0.006611,0.014766,0.076323,0.075725
0.005435,0.004597,-0.005315,0.014403,0.050791,0.060856
0.00562,0.0057,-0.003717,0.012212,0.024896,0.022832
0.006031,0.007002,-0.001789,0.021526,0.000467,-0.012346
0.006538,0.008226,0.000441,0.032766,-0.011727,-0.0163
0.007278,0.008749,0.002371,0.037804,-0.014254,0.004953
0.008533,0.008099,0.003829,0.042021,-0.002701,0.028078
0.01002,0.006748,0.004987,0.043303,0.008242,0.035131
0.011033,0.005481,0.005764,0.043623,0.003961,0.021168
0.011118,0.004559,0.00613,0.035327,-0.008778,-0.000983
0.010729,0.003721,0.006116,0.025149,-0.023133,-0.01427
0.010514,0.00297,0.005737,0.014627,-0.027786,-0.0149
0.010851,0.002277,0.004848,0.009754,-0.016199,-0.00601
0.011363,0.001672,0.003593,0.006402,-0.002001,-0.000728
0.011575,0.001241,0.002421,0.000255,0.003226,0.003796
0.011064,0.000919,0.001774,-0.003818,0.001583,0.006782
0.010252,0.000771,0.001209,-0.008024,-0.001957,0.003047
0.009935,0.001085,-0.000154,-0.008015,0.003345,-0.006257
0.01052,0.002025,-0.002733,-0.003133,0.005022,-0.005039
0.011599,0.003427,-0.00611,0.000392,0.005127,0.010515
0.012746,0.005085,-0.009913,0.010432,0.007719,0.023688
0.01406,0.00671,-0.014673,0.01879,0.007387,0.017738
0.015441,0.008592,-0.019859,0.023864,0.002478,0.000265
0.016161,0.011391,-0.02351,0.035843,-0.001771,-0.020841
0.015577,0.015845,-0.024893,0.034947,-0.013647,-0.033173
0.014331,0.021215,-0.024742,0.033214,-0.034543,-0.047125
0.013626,0.025948,-0.023294,0.037375,-0.046603,-0.066224
0.014219,0.029736,-0.020083,0.064529,-0.031969,-0.062049
0.015352,0.032885,-0.015575,0.10209,-0.011223,-0.047218
0.015953,0.034764,-0.011407,0.12226,-0.003298,-0.010108
0.015497,0.035027,-0.008037,0.13182,-0.012295,0.020191
0.01451,0.03402,-0.005006,0.13365,-0.02848,0.024454
0.01349,0.032149,-0.002572,0.14016,-0.035045,-0.006057
0.012593,0.029438,-0.000925,0.1438,-0.038798,-0.043919
0.011662,0.025862,0.000125,0.12845,-0.047348,-0.066555
0.010733,0.021758,0.000886,0.092306,-0.068839,-0.075906
0.009844,0.01683,0.00121,0.058038,-0.07504,-0.085891
0.008956,0.011374,0.001245,0.040064,-0.059573,-0.09745
0.007982,0.006603,0.001749,0.047571,-0.028136,-0.10301
0.00688,0.003097,0.003234,0.040794,-0.005787,-0.10363
0.005694,0.000278,0.005187,0.009625,-0.008485,-0.090124
0.004466,-0.002386,0.006824,-0.024575,-0.029046,-0.089728
0.003252,-0.005544,0.007984,-0.035977,-0.037513,-0.11411
0.001997,-0.008546,0.008828,-0.027796,-0.02489,-0.14389
0.000584,-0.009965,0.00905,-0.024236,-0.01493,-0.1495
-0.001226,-0.008762,0.008358,-0.036715,-0.022678,-0.1207
-0.003194,-0.005976,0.007043,-0.061166,-0.021626,-0.071402
-0.004715,-0.00329,0.005671,-0.073609,0.000153,-0.023441
-0.005389,-0.001048,0.00402,-0.06515,0.037024,0.009287
-0.005616,0.001094,0.002311,-0.058165,0.069919,0.043568
-0.005991,0.002487,0.001771,-0.057215,0.090396,0.098844
-0.006623,0.002436,0.003202,-0.055952,0.10297,0.12871
-0.007403,0.001636,0.005801,-0.054951,0.10408,0.098278
-0.008598,0.001519,0.008387,-0.054668,0.092572,0.035473
-0.010561,0.00269,0.010877,-0.053067,0.04707,-0.020098
-0.012939,0.004545,0.013353,-0.057738,-0.013182,-0.043355
-0.014941,0.006705,0.014893,-0.049204,-0.039152,-0.064913
-0.01617,0.009394,0.015166,-0.028155,-0.038965,-0.083731
-0.017023,0.012389,0.014502,-0.003597,-0.022741,-0.068141
-0.0179,0.014637,0.012961,0.000438,-0.024753,-0.024469
-0.018915,0.015405,0.010246,-0.005769,-0.014693,0.034152
-0.019955,0.015426,0.006655,0.004822,0.017333,0.057145
-0.02108,0.015844,0.003144,0.028505,0.051186,0.044034
-0.022613,0.017482,0.000336,0.03304,0.063691,0.029291
-0.024231,0.019517,-0.002392,0.00646,0.053401,0.049974
-0.025033,0.02062,-0.005949,-0.010094,0.059408,0.098004
-0.024607,0.019994,-0.011618,-0.007621,0.08286,0.12825
-0.023365,0.018435,-0.018115,0.016858,0.11872,0.14202
-0.021635,0.017007,-0.022495,0.031581,0.15143,0.15338
-0.01935,0.016099,-0.023392,0.018413,0.1662,0.1804
-0.016576,0.015321,-0.022172,-0.006648,0.16692,0.20173
-0.013841,0.014565,-0.019985,-0.023266,0.15591,0.18163
-0.011501,0.013702,-0.016752,-0.027509,0.13335,0.12303
-0.0092,0.012861,-0.012553,-0.024548,0.092179,0.051214
-0.006389,0.012318,-0.008773,-0.01064,0.04987,0.013905
-0.016093,0.006962,-0.011991,0.009406,0.047214,-0.025332
