hand_x_pos,hand_y_pos,hand_z_pos,hand_quat_q,hand_quat_p1,hand_quat_p2,hand_quat_p3
-0.26682,-0.22336,0.71588,0.56914,0.62985,0.28559,0.44475
-0.26707,-0.22321,0.71571,0.56907,0.63011,0.28559,0.44447
-0.26728,-0.22303,0.71555,0.56902,0.63033,0.28555,0.44425
-0.26744,-0.2228,0.71538,0.56897,0.63053,0.28546,0.44409
-0.26756,-0.22256,0.71522,0.56886,0.63074,0.28535,0.44401
-0.26764,-0.22229,0.71505,0.56865,0.63097,0.28526,0.44401
-0.26767,-0.22201,0.71488,0.56838,0.63121,0.28516,0.44407
-0.26766,-0.22171,0.71471,0.56813,0.63142,0.28501,0.44418
-0.2676,-0.22139,0.71452,0.56793,0.63158,0.28482,0.44435
-0.2675,-0.22107,0.71432,0.56774,0.6317,0.28459,0.44456
-0.26737,-0.22074,0.71414,0.5676,0.63184,0.28429,0.44474
-0.26724,-0.2204,0.71398,0.56754,0.632,0.28387,0.44485
-0.26708,-0.22006,0.71382,0.56753,0.63217,0.28339,0.44493
-0.26689,-0.21974,0.71369,0.56747,0.63232,0.28293,0.44508
-0.26668,-0.21942,0.71356,0.56731,0.63246,0.28254,0.44534
-0.26644,-0.21911,0.71346,0.5671,0.63258,0.28219,0.44566
-0.26618,-0.21881,0.71338,0.56684,0.6327,0.28187,0.44601
-0.26591,-0.21851,0.71334,0.56651,0.63286,0.28159,0.44639
-0.26562,-0.21822,0.71334,0.56613,0.63302,0.28136,0.44679
-0.26531,-0.21799,0.71336,0.56579,0.63314,0.28114,0.44718
-0.26497,-0.21782,0.71344,0.5655,0.63322,0.28097,0.44755
-0.26461,-0.21771,0.71354,0.56525,0.63325,0.28082,0.44792
-0.26425,-0.21773,0.71367,0.56508,0.63324,0.28062,0.44827
-0.26389,-0.2179,0.71384,0.56499,0.63317,0.28033,0.44865
-0.26353,-0.2182,0.71403,0.56499,0.63306,0.28,0.44902
-0.26318,-0.21861,0.71419,0.56512,0.6329,0.27965,0.4493
-0.26287,-0.21914,0.71431,0.56542,0.63265,0.27929,0.44951
-0.26257,-0.21979,0.71441,0.56584,0.63235,0.27892,0.44962
-0.26231,-0.2205,0.71452,0.56635,0.6321,0.27861,0.44953
-0.2621,-0.22128,0.71463,0.56692,0.63196,0.27838,0.44915
-0.26193,-0.22213,0.71475,0.56757,0.63187,0.2782,0.44856
-0.26177,-0.22299,0.71491,0.56828,0.63172,0.27811,0.44793
-0.26161,-0.22385,0.7151,0.56918,0.6315,0.27796,0.4472
-0.26146,-0.22473,0.71533,0.57013,0.63121,0.27789,0.44642
-0.26129,-0.22568,0.71562,0.57077,0.63079,0.27835,0.44592
-0.26111,-0.22671,0.71598,0.5709,0.63018,0.27961,0.44584
-0.2609,-0.2278,0.71639,0.5707,0.62943,0.28139,0.44603
-0.26064,-0.22894,0.71685,0.57041,0.62861,0.28329,0.44636
-0.26032,-0.23014,0.71737,0.56996,0.62769,0.28533,0.44692
-0.25995,-0.23139,0.71793,0.56943,0.62669,0.28748,0.44762
-0.25957,-0.23264,0.71853,0.56918,0.62573,0.28935,0.44807
-0.25918,-0.23386,0.71918,0.56934,0.62487,0.29083,0.44811
-0.25878,-0.23508,0.71986,0.5698,0.62405,0.29202,0.4479
-0.25836,-0.23627,0.72058,0.57055,0.62326,0.2928,0.44753
-0.2579,-0.23741,0.72133,0.57163,0.62249,0.29315,0.447
-0.25742,-0.23851,0.72212,0.57301,0.62175,0.29308,0.4463
-0.25693,-0.23957,0.7229,0.57455,0.6211,0.29258,0.44557
-0.25644,-0.24059,0.72367,0.5763,0.62056,0.29145,0.4448
-0.25596,-0.24157,0.72443,0.5782,0.62011,0.28988,0.44398
-0.25551,-0.24246,0.72517,0.58001,0.61965,0.28839,0.44323
-0.2551,-0.24323,0.7259,0.58169,0.61914,0.28711,0.44257
-0.25474,-0.2439,0.72662,0.58327,0.61863,0.28592,0.44198
-0.25442,-0.24449,0.7273,0.58458,0.61819,0.28494,0.44149
-0.25417,-0.24498,0.72796,0.58558,0.61787,0.28422,0.44109
-0.25397,-0.24538,0.7286,0.58631,0.61762,0.2837,0.44079
-0.2538,-0.24576,0.7292,0.5868,0.61737,0.28335,0.44071
-0.25366,-0.24614,0.72976,0.58702,0.61708,0.28317,0.44095
-0.25356,-0.2465,0.73028,0.58701,0.61678,0.28315,0.4414
-0.2535,-0.24683,0.73072,0.58688,0.6165,0.28319,0.44193
-0.25346,-0.24712,0.73106,0.58668,0.61624,0.28323,0.44253
-0.25347,-0.24737,0.73132,0.58637,0.616,0.28333,0.44321
-0.25351,-0.24761,0.73147,0.58602,0.6158,0.28351,0.44384
-0.25359,-0.24782,0.7315,0.58565,0.61561,0.28379,0.44441
-0.25372,-0.24802,0.73142,0.58524,0.61546,0.28415,0.44494
-0.25387,-0.2482,0.73126,0.58484,0.61534,0.28459,0.44534
-0.25406,-0.24835,0.73103,0.58451,0.61527,0.28504,0.44558
-0.25429,-0.24847,0.73072,0.58419,0.61524,0.28558,0.44571
-0.25451,-0.24858,0.73041,0.5837,0.61525,0.28637,0.44582
-0.25474,-0.24871,0.73012,0.58293,0.61531,0.2876,0.44595
-0.25497,-0.24882,0.72982,0.58199,0.61542,0.28908,0.44607
-0.25516,-0.24892,0.72954,0.58108,0.61558,0.29043,0.44617
-0.25533,-0.249,0.72925,0.58022,0.61579,0.29156,0.44624
-0.25545,-0.24906,0.72898,0.5794,0.61605,0.29257,0.44629
-0.25555,-0.24908,0.72872,0.57874,0.61627,0.29334,0.44634
-0.25559,-0.24904,0.72846,0.57833,0.6164,0.29381,0.44639
-0.2556,-0.24896,0.72821,0.57807,0.6165,0.29403,0.44644
