vx,vy,vz,wx,wy,wz
0.026163,-0.003138,-0.035507,0.005843,0.008432,0.013294
0.027894,-0.003576,-0.036803,-0.001199,0.017441,0.005817
0.029883,-0.003919,-0.037818,-0.01407,0.024732,0.003263
0.032049,-0.004224,-0.038645,-0.021115,0.03373,-0.004209
0.034383,-0.004516,-0.039457,-0.028506,0.028391,-0.005516
0.036982,-0.005041,-0.040266,-0.018585,0.018242,-0.004442
0.03975,-0.005552,-0.04106,-0.003155,0.023548,-0.008654
0.042385,-0.005339,-0.04198,0.012286,0.01928,-0.018622
0.044615,-0.004315,-0.043161,0.008595,0.011186,-0.006838
0.046713,-0.002567,-0.044468,-0.00858,0.021683,0.010265
0.049196,0.00036,-0.045628,-0.022959,0.019784,0.029682
0.051529,0.003036,-0.045786,-0.042301,0.009223,0.031151
0.054247,0.006891,-0.045797,-0.075309,0.009195,0.022222
0.059467,0.016668,-0.047962,-0.11578,0.021234,0.038015
0.065405,0.033885,-0.054365,-0.20854,0.029043,0.071308
0.073845,0.057024,-0.062922,-0.37654,0.071938,0.1135
0.092267,0.086275,-0.069677,-0.58333,0.16628,0.18994
0.12301,0.12369,-0.076541,-0.81904,0.33478,0.38643
0.16374,0.16722,-0.081602,-1.0447,0.50549,0.78126
0.2149,0.21089,-0.075169,-1.3417,0.68211,1.0504
0.27913,0.25653,-0.05216,-1.7854,0.84243,1.1159
0.35379,0.3023,-0.017655,-1.8232,0.82872,1.0776
0.43146,0.33676,0.022796,-1.3158,0.4981,0.99027
0.5116,0.35385,0.067672,-0.7528,0.15622,0.93973
0.59476,0.35962,0.1185,-0.32614,-0.21669,0.71542
0.67512,0.36079,0.17428,0.12179,-0.61699,0.47016
0.75064,0.3594,0.23341,0.45813,-1.0844,0.44802
0.82337,0.35341,0.2975,0.49644,-1.6924,0.37515
0.8937,0.34343,0.37047,0.35389,-2.3062,0.34009
0.9613,0.3313,0.45311,0.20638,-2.8982,0.23904
1.0265,0.31518,0.54463,0.094348,-3.4187,0.13002
1.0906,0.2901,0.64655,0.080984,-3.7437,0.025191
1.1587,0.25245,0.76195,0.23041,-3.9103,-0.16163
1.2256,0.20585,0.88774,0.47729,-4.0498,-0.43316
1.278,0.15613,1.0162,0.71767,-4.1809,-0.83334
1.3121,0.1057,1.1505,0.96954,-4.3574,-1.441
1.3315,0.052157,1.2875,1.0593,-4.5383,-1.944
1.3342,-0.005917,1.41,1.0742,-4.6807,-2.0976
1.3198,-0.07075,1.5147,0.9062,-4.7268,-2.0834
1.2887,-0.14011,1.605,0.59241,-4.6472,-2.1689
1.2389,-0.20874,1.674,0.22632,-4.3898,-2.3594
1.1678,-0.27471,1.7152,-0.16794,-4.1138,-2.4555
1.0782,-0.33994,1.7352,-0.58837,-3.8589,-2.7449
0.97659,-0.40489,1.7473,-1.1772,-3.6453,-3.1074
0.86161,-0.47389,1.7604,-1.6654,-3.3853,-3.4292
0.73471,-0.54262,1.7656,-1.2711,-3.307,-3.7477
0.60698,-0.59853,1.7493,-0.54297,-3.4553,-3.6495
0.47894,-0.63715,1.7018,-0.33515,-3.5527,-3.4543
0.35007,-0.66295,1.6328,-0.67472,-3.4172,-3.4255
0.22988,-0.67683,1.558,-0.81597,-3.4432,-3.2713
0.1217,-0.67668,1.4823,-0.60562,-3.5503,-3.0662
